chromosome,gene,location,ltr,ncbi_gene_id,note,orientation_in_gene,orientation_in_reference,sample/original_id,sample/pubmed_id,source_name
19,GATAD2A,19543612,5p,54815,,F,F,RSHY_106BN_58_026,23953889,NCI-RID
19,GATAD2A,19545264,3p,54815,,F,F,5O55L:01075:01451,23953889,NCI-RID
19,GATAD2A,19554230,3p,54815,,F,F,G13FKHM01BCLO8,23953889,NCI-RID
19,GATAD2A,19556713,3p,54815,,F,R,ID28F2,23953889,NCI-RID
19,GATAD2A,19566822,3p,54815,,F,R,5O55L:02085:00502,23953889,NCI-RID
19,GATAD2A,19587759,3p,54815,,F,R,GXIEMIS01AAQNX,23953889,NCI-RID
19,GATAD2A,19590531,3p,54815,,F,R,GXIEMIS01BBPCQ,23953889,NCI-RID
19,PBX4,19684827,3p,80714,,R,R,GXIEMIS01BH0G9,23953889,NCI-RID
19,PBX4,19687767,3p,80714,,R,R,G13FKHM01A4EJ9,23953889,NCI-RID
19,PBX4,19707591,3p,80714,,R,R,GXIEMIS01BKH6S,23953889,NCI-RID
19,PBX4,19712508,3p,80714,,R,R,5O55L:02081:01658,23953889,NCI-RID
19,PBX4,19715585,3p,80714,,R,F,G13FKHM01AHSBI,23953889,NCI-RID
19,ZNF101,19785449,3p,94039,,F,F,G13FKHM01BG5I6,23953889,NCI-RID
19,,19957260,3p,,,,R,5O55L:02022:01977,23953889,NCI-RID
19,ZNF253,19999781,3p,56242,,F,F,GXIEMIS01AWXV5,23953889,NCI-RID
19,ZNF93,20046362,3p,81931,,F,R,5O55L:01289:01307,23953889,NCI-RID
19,ZNF486,20298187,3p,90649,,F,F,5O55L:00511:02042,23953889,NCI-RID
19,,21020262,3p,,,,R,5O55L:00770:01635,23953889,NCI-RID
19,,21164028,3p,,,,R,G13FKHM01BPOOU,23953889,NCI-RID
19,ZNF430,21219430,3p,80264,,F,F,IBB15D9,23953889,NCI-RID
19,ZNF714,21278984,3p,148206,,F,R,G13FKHM01BXEF2,23953889,NCI-RID
19,ZNF714,21282602,3p,148206,,F,F,GXIEMIS01BNJJC,23953889,NCI-RID
19,ZNF714,21298578,3p,148206,,F,F,5O55L:02447:01311,23953889,NCI-RID
19,,21371925,3p,,,,R,ID30B3,23953889,NCI-RID
19,ZNF708,21489403,3p,7562,,R,R,5O55L:01439:00475,23953889,NCI-RID
19,ZNF708,21509597,3p,7562,,R,R,G13FKHM01BCHGI,23953889,NCI-RID
19,ZNF429,21712762,3p,353088,,F,R,5O55L:00122:00221,23953889,NCI-RID
19,,22561363,3p,,,,R,5O55L:00828:01961,23953889,NCI-RID
19,ZNF724P,23430906,3p,,,R,F,5O55L:00352:02121,23953889,NCI-RID
19,,27732007,3p,,,,F,G13FKHM01A0JC4,23953889,NCI-RID
19,,27734375,3p,,,,F,G13FKHM01B0S1I,23953889,NCI-RID
19,,28935588,3p,,,,R,5O55L:00698:01878,23953889,NCI-RID
19,,28971887,3p,,,,R,5O55L:01688:00816,23953889,NCI-RID
19,,29120408,3p,,,,F,IBB4G01,23953889,NCI-RID
19,,29236807,3p,,,,R,G13FKHM01B1EVW,23953889,NCI-RID
19,UQCRFS1,29700005,3p,7386,,R,R,ID30D12,23953889,NCI-RID
19,CCNE1,30314967,5p,898,,F,R,148__060,23953889,NCI-RID
19,URI1,30451069,3p,8725,,F,R,5O55L:01924:01585,23953889,NCI-RID
19,URI1,30461204,3p,8725,,F,F,5O55L:01679:02540,23953889,NCI-RID
19,URI1,30465479,3p,8725,,F,R,G13FKHM01BLJ3B,23953889,NCI-RID
19,URI1,30469465,3p,8725,,F,R,GXIEMIS01BX24P,23953889,NCI-RID
19,URI1,30473053,3p,8725,,F,F,GXIEMIS01BPUTK,23953889,NCI-RID
19,URI1,30494110,3p,8725,,F,R,G13FKHM01AQTWI,23953889,NCI-RID
19,URI1,30504367,3p,8725,,F,F,5O55L:01663:01918,23953889,NCI-RID
19,URI1,30504962,3p,8725,,F,R,5O55L:02169:02398,23953889,NCI-RID
19,,30515451,5p,,,,R,71__043,23953889,NCI-RID
19,,31150574,3p,,,,R,G13FKHM01BN2E7,23953889,NCI-RID
19,TSHZ3,31777117,3p,57616,,R,R,ID27H2,23953889,NCI-RID
19,,32682404,3p,,,,R,5O55L:00728:00070,23953889,NCI-RID
19,,32793495,3p,,,,R,G13FKHM01A6ZJP,23953889,NCI-RID
19,ZNF507,32857471,3p,22847,,F,R,GXIEMIS01AWLKL,23953889,NCI-RID
19,DPY19L3,32904844,3p,147991,,F,F,GXIEMIS01BH015,23953889,NCI-RID
19,DPY19L3,32904910,3p,147991,,F,R,G13FKHM01BHIE9,23953889,NCI-RID
19,DPY19L3,32953031,3p,147991,,F,F,5O55L:01321:00419,23953889,NCI-RID
19,GPATCH1,33590071,3p,55094,,F,F,5O55L:02158:02659,23953889,NCI-RID
19,,34086003,3p,,,,R,5O55L:02284:01753,23953889,NCI-RID
19,,34634558,3p,,,,R,G13FKHM01AZ1PI,23953889,NCI-RID
19,LSM14A,34668001,3p,26065,,F,R,G13FKHM01BOGER,23953889,NCI-RID
19,LSM14A,34674738,3p,26065,,F,F,G13FKHM01BCOLX,23953889,NCI-RID
19,LSM14A,34676166,3p,26065,,F,R,ID9A10,23953889,NCI-RID
19,LSM14A,34680730,3p,26065,,F,R,G13FKHM01BRH1X,23953889,NCI-RID
19,LSM14A,34698887,3p,26065,,F,R,G13FKHM01BR48L,23953889,NCI-RID
19,GPI,34866102,3p,2821,,F,R,5O55L:00550:02325,23953889,NCI-RID
19,PDCD2L,34903833,5p,84306,,F,F,RSHY_BN_339_037,23953889,NCI-RID
19,UBA2,34932698,3p,10054,,F,R,GXIEMIS01BFWK2,23953889,NCI-RID
19,,35095241,3p,,,,F,GXIEMIS01AZROD,23953889,NCI-RID
19,ZNF181,35230973,3p,339318,,F,F,G13FKHM01AXWQO,23953889,NCI-RID
19,,35284258,3p,,,,F,G13FKHM01BEXL6,23953889,NCI-RID
19,,35661973,3p,,,,F,5O55L:01702:01625,23953889,NCI-RID
19,,35668630,3p,,,,R,5O55L:00829:01943,23953889,NCI-RID
19,,35672075,3p,,,,F,G13FKHM01AUBRA,23953889,NCI-RID
19,,35679686,3p,,,,R,5O55L:01909:00241,23953889,NCI-RID
19,,35684587,3p,,,,R,5O55L:02470:01054,23953889,NCI-RID
19,,35700169,3p,,,,R,GXIEMIS01AD5RG,23953889,NCI-RID
19,FAM187B,35719285,3p,148109,,R,R,G13FKHM01AEUOR,23953889,NCI-RID
19,,35730335,3p,,,,F,5O55L:02282:02376,23953889,NCI-RID
19,LSR,35753981,3p,51599,,F,F,5O55L:00314:02108,23953889,NCI-RID
19,COX6B1,36147739,3p,1340,,F,R,5O55L:02007:02590,23953889,NCI-RID
19,C19ORF55,36253052,3p,148137,,F,R,G13FKHM01A0JGS,23953889,NCI-RID
19,NFKBID,36382403,3p,84807,,R,R,G13FKHM01ATACD,23953889,NCI-RID
19,NFKBID,36387377,5p,84807,,R,F,RSHY_106G_106_050,23953889,NCI-RID
19,,36399748,3p,,,,F,5O55L:01317:00377,23953889,NCI-RID
19,,36404955,3p,,,,R,5O55L:02076:00797,23953889,NCI-RID
19,,36490834,3p,,,,F,5O55L:02370:00716,23953889,NCI-RID
19,ZNF565,36694267,3p,147929,,R,F,G13FKHM01BP0W7,23953889,NCI-RID
19,ZNF529,37040162,5p,57711,,R,F,183__095,23953889,NCI-RID
19,ZNF529,37048244,3p,57711,,R,R,GXIEMIS01AP02F,23953889,NCI-RID
19,ZNF529,37078057,3p,57711,,R,R,5O55L:02452:01947,23953889,NCI-RID
19,ZNF567,37184353,3p,163081,,F,R,G13FKHM01ASP4K,23953889,NCI-RID
19,ZNF567,37186583,3p,163081,,F,R,G13FKHM01BBFOP,23953889,NCI-RID
19,ZNF850,37248654,3p,,,R,F,ID7F7,23953889,NCI-RID
19,ZNF850,37249172,3p,,,R,R,5O55L:01354:00750,23953889,NCI-RID
19,LOC728485,37267096,3p,,,F,F,IBB3G10,23953889,NCI-RID
19,,37706667,3p,,,,R,G13FKHM01AHKML,23953889,NCI-RID
19,,37820797,3p,,,,R,G13FKHM01BEVE2,23953889,NCI-RID
19,,37959452,3p,,,,R,5O55L:00725:00504,23953889,NCI-RID
19,ZFP30,38132192,3p,22835,,R,F,G13FKHM01BAUJM,23953889,NCI-RID
19,SIPA1L3,38436208,3p,23094,,F,R,G13FKHM01BCBRA,23953889,NCI-RID
19,SIPA1L3,38691308,3p,23094,,F,F,5O55L:01215:01430,23953889,NCI-RID
19,YIF1B,38799171,3p,90522,,R,F,ID13B03,23953889,NCI-RID
19,,38921991,3p,,,,F,5O55L:00869:01313,23953889,NCI-RID
19,RYR1,38985651,3p,6261,,F,R,5O55L:02425:02055,23953889,NCI-RID
19,RYR1,39045465,3p,6261,,F,R,5O55L:02249:00571,23953889,NCI-RID
19,EIF3K,39118956,3p,27335,,F,F,G13FKHM01BO8NE,23953889,NCI-RID
19,ACTN4,39149520,5p,81,,F,F,174_BG_031,23953889,NCI-RID
19,ACTN4,39150208,3p,81,,F,R,GXIEMIS01AP3H0,23953889,NCI-RID
19,ACTN4,39178380,5p,81,,F,R,RSHY_106G_129_083,23953889,NCI-RID
19,,39324907,3p,,,,R,G13FKHM01A5BDQ,23953889,NCI-RID
19,HNRNPL,39330094,3p,3191,,R,R,IBB10E04,23953889,NCI-RID
19,,39357790,3p,,,,R,G13FKHM01AZ3QY,23953889,NCI-RID
19,RINL,39358849,3p,126432,,R,F,5O55L:02353:02613,23953889,NCI-RID
19,RINL,39367908,3p,126432,,R,F,5O55L:01838:02665,23953889,NCI-RID
19,LOC643669,39400038,3p,643669,,R,F,G13FKHM01BTIH2,23953889,NCI-RID
19,PLEKHG2,39908637,3p,64857,,F,F,G13FKHM01BU7M7,23953889,NCI-RID
19,SUPT5H,39952257,5p,6829,,F,F,219_Mixed_044,23953889,NCI-RID
19,,40235964,3p,,,,R,5O55L:02458:02028,23953889,NCI-RID
19,FBL,40327904,3p,2091,,R,R,GXIEMIS01AF53W,23953889,NCI-RID
19,FBL,40333163,3p,2091,,R,R,GXIEMIS01BHUJJ,23953889,NCI-RID
19,FCGBP,40415172,3p,8857,,R,R,G13FKHM01A9IOK,23953889,NCI-RID
19,FCGBP,40415579,3p,8857,,R,F,G13FKHM01B1EQY,23953889,NCI-RID
19,FCGBP,40417098,3p,8857,,R,F,G13FKHM01BKAPX,23953889,NCI-RID
19,FCGBP,40417657,3p,8857,,R,R,5O55L:02544:00966,23953889,NCI-RID
19,FCGBP,40437404,3p,8857,,R,R,GXIEMIS01BOIC4,23953889,NCI-RID
19,,40443408,3p,,,,F,5O55L:01429:00736,23953889,NCI-RID
19,,40445250,3p,,,,F,G13FKHM01A0TU6,23953889,NCI-RID
19,,40454744,3p,,,,R,G13FKHM01BSWPY,23953889,NCI-RID
19,,40460686,3p,,,,R,G13FKHM01AEIRG,23953889,NCI-RID
19,,40461234,3p,,,,R,G13FKHM01AI296,23953889,NCI-RID
19,,40462625,3p,,,,F,G13FKHM01AYFYP,23953889,NCI-RID
19,,40462848,3p,,,,R,G13FKHM01BQGR2,23953889,NCI-RID
19,,40462988,3p,,,,R,G13FKHM01AUG9M,23953889,NCI-RID
19,,40464958,3p,,,,F,G13FKHM01A0V0V,23953889,NCI-RID
19,,40465744,3p,,,,F,GXIEMIS01BZG6L,23953889,NCI-RID
19,,40467539,3p,,,,R,G13FKHM01BMVIQ,23953889,NCI-RID
19,,40468952,3p,,,,R,G13FKHM01AX6GB,23953889,NCI-RID
19,,40470211,3p,,,,F,5O55L:02529:01975,23953889,NCI-RID
19,,40472789,3p,,,,R,5O55L:01419:02629,23953889,NCI-RID
19,,40472876,3p,,,,F,5O55L:01933:01436,23953889,NCI-RID
19,,40494293,3p,,,,F,GXIEMIS01BNV2W,23953889,NCI-RID
19,ZNF546,40504664,3p,339327,,F,R,G13FKHM01AD9AR,23953889,NCI-RID
19,ZNF546,40506633,5p,339327,,F,F,RSHY_106G_40_027,23953889,NCI-RID
19,ZNF780A,40584782,3p,284323,,R,R,5O55L:00983:00252,23953889,NCI-RID
19,ZNF780A,40591848,3p,284323,,R,R,GXIEMIS01ANNEZ,23953889,NCI-RID
19,,40696042,3p,,,,F,G13FKHM01ANEQB,23953889,NCI-RID
19,AKT2,40751145,5p,208,,R,R,RSHY_112C_68_008,23953889,NCI-RID
19,AKT2,40757741,3p,208,,R,R,ID7G9,23953889,NCI-RID
19,AKT2,40778881,5p,208,,R,F,RSHY_106_147BG_087,23953889,NCI-RID
19,,40938062,3p,,,,R,G13FKHM01A0KRU,23953889,NCI-RID
19,LTBP4,41126668,3p,8425,,F,F,5O55L:01576:00284,23953889,NCI-RID
19,NUMBL,41181793,3p,9253,,R,F,G13FKHM01AUUHI,23953889,NCI-RID
19,ITPKC,41225393,3p,80271,,F,R,G13FKHM01BD0BN,23953889,NCI-RID
19,ITPKC,41226325,3p,80271,,F,R,G13FKHM01B1OW2,23953889,NCI-RID
19,SNRPA,41265621,3p,6626,,F,R,G13FKHM01AO7XM,23953889,NCI-RID
19,RAB4B-EGLN2,41290397,3p,100529264,,F,R,G13FKHM01BCU9I,23953889,NCI-RID
19,RAB4B-EGLN2,41298599,3p,100529264,,F,R,G13FKHM01AQ8RQ,23953889,NCI-RID
19,,41363205,3p,,,,F,G13FKHM01AD5O6,23953889,NCI-RID
19,,41606006,3p,,,,R,G13FKHM01AHO0A,23953889,NCI-RID
19,HNRNPUL1,41774473,5p,11100,,F,F,293_Mixed_059,23953889,NCI-RID
19,HNRNPUL1,41782046,3p,11100,,F,F,G13FKHM01BVZB4,23953889,NCI-RID
19,HNRNPUL1,41794145,3p,11100,,F,R,ID26F11,23953889,NCI-RID
19,HNRNPUL1,41794640,3p,11100,,F,R,GXIEMIS01AWCGF,23953889,NCI-RID
19,HNRNPUL1,41797797,3p,11100,,F,R,GXIEMIS01A3QDP,23953889,NCI-RID
19,CCDC97,41828254,3p,90324,,F,R,GXIEMIS01BCNHB,23953889,NCI-RID
19,TGFB1,41839095,3p,7040,,R,F,GXIEMIS01AGFY5,23953889,NCI-RID
19,TGFB1,41845977,3p,7040,,R,R,5O55L:02289:01017,23953889,NCI-RID
19,B9D2,41864029,3p,80776,,R,F,5O55L:02212:02449,23953889,NCI-RID
19,TMEM91,41876507,3p,641649,,F,R,5O55L:02462:01544,23953889,NCI-RID
19,,42044831,3p,,,,F,G13FKHM01ANMXL,23953889,NCI-RID
19,,42045332,3p,,,,F,5O55L:02163:01182,23953889,NCI-RID
19,,42048374,3p,,,,R,5O55L:01876:00415,23953889,NCI-RID
19,,42053017,3p,,,,R,G13FKHM01AEU8H,23953889,NCI-RID
19,,42055624,3p,,,,R,G13FKHM01AJOW3,23953889,NCI-RID
19,,42060162,3p,,,,R,G13FKHM01ADJBQ,23953889,NCI-RID
19,,42061183,3p,,,,F,G13FKHM01BC7CX,23953889,NCI-RID
19,,42062476,3p,,,,F,G13FKHM01AHU0H,23953889,NCI-RID
19,,42063390,3p,,,,F,G13FKHM01BLFS0,23953889,NCI-RID
19,,42063704,3p,,,,F,G13FKHM01BZ6HZ,23953889,NCI-RID
19,,42065002,3p,,,,R,GXIEMIS01A6VBY,23953889,NCI-RID
19,,42065663,3p,,,,F,5O55L:02410:01964,23953889,NCI-RID
19,,42066157,3p,,,,F,GXIEMIS01AT4SY,23953889,NCI-RID
19,,42067389,5p,,,,F,134__073,23953889,NCI-RID
19,,42067725,3p,,,,R,G13FKHM01A9CS7,23953889,NCI-RID
19,,42068726,3p,,,,F,5O55L:00082:01627,23953889,NCI-RID
19,,42072738,3p,,,,F,5O55L:02189:00939,23953889,NCI-RID
19,,42072789,3p,,,,R,GXIEMIS01AB5CT,23953889,NCI-RID
19,,42073494,3p,,,,F,5O55L:02265:02589,23953889,NCI-RID
19,,42073720,3p,,,,R,5O55L:01501:01671,23953889,NCI-RID
19,,42074373,3p,,,,R,5O55L:02219:01673,23953889,NCI-RID
19,,42075062,3p,,,,R,G13FKHM01BC0Q0,23953889,NCI-RID
19,,42286629,3p,,,,R,5O55L:02098:02081,23953889,NCI-RID
19,RPS19,42369617,3p,6223,,F,R,5O55L:00757:01025,23953889,NCI-RID
19,CD79A,42383935,3p,973,,F,R,G13FKHM01AD59P,23953889,NCI-RID
19,CD79A,42385406,3p,973,,F,F,G13FKHM01B0TJX,23953889,NCI-RID
19,LOC100505622,42640883,3p,100505622,,F,R,G13FKHM01ADJ7J,23953889,NCI-RID
19,DEDD2,42705879,3p,162989,,R,R,G13FKHM01A1BRV,23953889,NCI-RID
19,DEDD2,42710392,3p,162989,,R,R,5O55L:02372:00846,23953889,NCI-RID
19,DEDD2,42715400,3p,162989,,R,R,5O55L:01921:02242,23953889,NCI-RID
19,DEDD2,42719351,3p,162989,,R,R,G13FKHM01AHXQN,23953889,NCI-RID
19,GSK3A,42739205,3p,2931,,R,R,G13FKHM01ATSQ6,23953889,NCI-RID
19,MEGF8,42849736,5p,1954,,F,R,182_BG_032,23953889,NCI-RID
19,MEGF8,42864858,3p,1954,,F,R,5O55L:02165:01385,23953889,NCI-RID
19,LOC100996307,42993564,3p,100996307,,F,R,5O55L:02249:00530,23953889,NCI-RID
19,LOC100996307,42993593,3p,100996307,,F,R,5O55L:02002:02437,23953889,NCI-RID
19,LOC100996307,42997946,3p,100996307,,F,F,5O55L:02125:01036,23953889,NCI-RID
19,LOC100996307,43005048,3p,100996307,,F,F,5O55L:00027:00183,23953889,NCI-RID
19,LOC100996307,43008566,3p,100996307,,F,F,G13FKHM01B14UH,23953889,NCI-RID
19,CEACAM1,43013363,3p,634,,R,F,GXIEMIS01BW3UT,23953889,NCI-RID
19,LOC100996307,43014768,3p,100996307,,F,R,G13FKHM01BXWMB,23953889,NCI-RID
19,XRCC1,44074482,3p,7515,,R,R,5O55L:02466:01451,23953889,NCI-RID
19,ZNF45,44426268,3p,7596,,R,F,5O55L:02114:01788,23953889,NCI-RID
19,ZNF284,44589306,3p,342909,,F,F,GXIEMIS01AAH1G,23953889,NCI-RID
19,ZNF224,44603191,3p,7767,,F,R,IBB14E2,23953889,NCI-RID
19,ZNF227,44719108,3p,7770,,F,F,5O55L:02110:02480,23953889,NCI-RID
19,RELB,45514119,3p,5971,,F,R,GXIEMIS01BJ04J,23953889,NCI-RID
19,GEMIN7,45585666,3p,79760,,F,R,G13FKHM01BWIV5,23953889,NCI-RID
19,PPP1R37,45613733,3p,284352,,F,F,G13FKHM01AW0VO,23953889,NCI-RID
19,VASP,46016655,3p,7408,,F,R,G13FKHM01ASN78,23953889,NCI-RID
19,OPA3,46077047,3p,80207,,R,R,5O55L:00141:01625,23953889,NCI-RID
19,OPA3,46082919,3p,80207,,R,F,IBB8F08,23953889,NCI-RID
19,EML2,46127915,3p,24139,,R,R,G13FKHM01BD9P4,23953889,NCI-RID
19,EML2,46136669,3p,24139,,R,F,5O55L:02006:01505,23953889,NCI-RID
19,,46207374,3p,,,,R,5O55L:01203:02267,23953889,NCI-RID
19,FBXO46,46224711,3p,23403,,R,F,G13FKHM01AH6T1,23953889,NCI-RID
19,DMWD,46292652,3p,1762,,R,R,5O55L:01168:01707,23953889,NCI-RID
19,SYMPK,46349451,3p,8189,,R,F,IBB15B6,23953889,NCI-RID
19,SYMPK,46360202,3p,8189,,R,F,ID23E9,23953889,NCI-RID
19,MYPOP,46396323,5p,339344,,R,R,173_BG_002,23953889,NCI-RID
19,,46415291,5p,,,,F,61__005,23953889,NCI-RID
19,IGFL3,46625026,3p,388555,,R,F,5O55L:02052:00311,23953889,NCI-RID
19,IGFL2,46655584,3p,147920,,F,R,5O55L:01363:01481,23953889,NCI-RID
19,PPP5C,46868737,3p,5536,,F,F,G13FKHM01ANC74,23953889,NCI-RID
19,PPP5C,46873959,3p,5536,,F,F,ID11E1,23953889,NCI-RID
19,PPP5D1,47025911,3p,100506012,,R,F,G13FKHM01BDPE2,23953889,NCI-RID
19,PPP5D1,47089774,3p,100506012,,R,R,G13FKHM01A6YC8,23953889,NCI-RID
19,SLC1A5,47278579,5p,6510,,R,R,RSHY_106G_85_005,23953889,NCI-RID
19,,47368993,3p,,,,F,5O55L:00796:01876,23953889,NCI-RID
19,,47369636,3p,,,,F,GXIEMIS01BE98S,23953889,NCI-RID
19,,47369961,3p,,,,R,GXIEMIS01ADY7D,23953889,NCI-RID
19,,47372130,3p,,,,R,5O55L:02489:02459,23953889,NCI-RID
19,,47393920,3p,,,,R,G13FKHM01ABFSJ,23953889,NCI-RID
19,,47407004,3p,,,,R,GXIEMIS01AQ5PL,23953889,NCI-RID
19,,47412226,3p,,,,F,GXIEMIS01BJYCJ,23953889,NCI-RID
19,ARHGAP35,47434434,3p,2909,,F,F,G13FKHM01ANA9R,23953889,NCI-RID
19,ARHGAP35,47450755,3p,2909,,F,R,G13FKHM01ANWE7,23953889,NCI-RID
19,ARHGAP35,47454821,5p,2909,,F,F,53__052,23953889,NCI-RID
19,ARHGAP35,47464121,3p,2909,,F,F,GXIEMIS01BADDZ,23953889,NCI-RID
19,ARHGAP35,47483453,3p,2909,,F,F,5O55L:02466:01910,23953889,NCI-RID
19,ZC3H4,47608986,3p,23211,,R,F,GXIEMIS01ASDUV,23953889,NCI-RID
19,ZC3H4,47609624,3p,23211,,R,R,GXIEMIS01AL8AH,23953889,NCI-RID
19,ZC3H4,47610937,3p,23211,,R,F,5O55L:01056:00198,23953889,NCI-RID
19,ZC3H4,47611874,3p,23211,,R,R,5O55L:02584:02066,23953889,NCI-RID
19,ZC3H4,47613045,3p,23211,,R,F,G13FKHM01BXNJW,23953889,NCI-RID
19,SAE1,47637895,3p,10055,,F,F,G13FKHM01AJDCX,23953889,NCI-RID
19,SAE1,47654390,3p,10055,,F,R,G13FKHM01A226Z,23953889,NCI-RID
19,SAE1,47655612,5p,10055,,F,F,RSHY_106N79__067,23953889,NCI-RID
19,SAE1,47663046,3p,10055,,F,F,G13FKHM01BU4FE,23953889,NCI-RID
19,SAE1,47664985,3p,10055,,F,R,5O55L:00941:02200,23953889,NCI-RID
19,SAE1,47666143,3p,10055,,F,F,GXIEMIS01AAJ07,23953889,NCI-RID
19,SAE1,47666610,3p,10055,,F,F,GXIEMIS01BTX69,23953889,NCI-RID
19,SAE1,47666745,3p,10055,,F,F,GXIEMIS01AJRPC,23953889,NCI-RID
19,SAE1,47672430,5p,10055,,F,F,RSHY_106N_44_026,23953889,NCI-RID
19,SAE1,47685317,3p,10055,,F,R,G13FKHM01AOVFC,23953889,NCI-RID
19,SAE1,47698761,3p,10055,,F,R,G13FKHM01A8WYG,23953889,NCI-RID
19,SAE1,47700461,3p,10055,,F,F,GXIEMIS01AUEZ9,23953889,NCI-RID
19,CCDC9,47771692,3p,26093,,F,R,5O55L:00942:00187,23953889,NCI-RID
19,DHX34,47866618,3p,9704,,F,F,5O55L:01899:01403,23953889,NCI-RID
19,ZNF541,48058084,3p,84215,,R,R,GXIEMIS01BFEUY,23953889,NCI-RID
19,LIG1,48669915,3p,3978,,R,R,IBB7H07,23953889,NCI-RID
19,C19ORF68,48695781,3p,374920,,F,F,GXIEMIS01A8SQU,23953889,NCI-RID
19,CARD8,48712690,3p,22900,,R,F,G13FKHM01BAJPC,23953889,NCI-RID
19,CARD8,48722039,3p,22900,,R,R,G13FKHM01AWPON,23953889,NCI-RID
19,CARD8,48727421,3p,22900,,R,F,GXIEMIS01AU3Z5,23953889,NCI-RID
19,CARD8,48730782,3p,22900,,R,R,G13FKHM01ASWN5,23953889,NCI-RID
19,CARD8,48735205,3p,22900,,R,F,G13FKHM01BLZUF,23953889,NCI-RID
19,CARD8,48738777,3p,22900,,R,R,G13FKHM01AQY7K,23953889,NCI-RID
19,CARD8,48748677,3p,22900,,R,F,G13FKHM01BRSE2,23953889,NCI-RID
19,CARD8,48750229,3p,22900,,R,F,GXIEMIS01ARSF2,23953889,NCI-RID
19,CARD8,48751031,3p,22900,,R,F,GXIEMIS01AMOAZ,23953889,NCI-RID
19,CARD8,48751467,3p,22900,,R,F,GXIEMIS01APXHW,23953889,NCI-RID
19,,48773549,3p,,,,R,G13FKHM01BPAU4,23953889,NCI-RID
19,EMP3,48832068,3p,2014,,F,R,G13FKHM01AYS2W,23953889,NCI-RID
19,EMP3,48832071,3p,2014,,F,R,G13FKHM01ASEKZ,23953889,NCI-RID
19,,48834246,3p,,,,R,G13FKHM01AJ4KR,23953889,NCI-RID
19,SULT2B1,49086336,3p,6820,,F,F,GXIEMIS01BTYI1,23953889,NCI-RID
19,SPHK2,49124950,3p,56848,,F,R,IBB1C5,23953889,NCI-RID
19,SEC1P,49145181,3p,,,F,R,GXIEMIS01BIY4Q,23953889,NCI-RID
19,SEC1P,49153461,3p,,,F,R,G13FKHM01AI2EH,23953889,NCI-RID
19,,49380212,3p,,,,F,G13FKHM01BXQZ7,23953889,NCI-RID
19,BAX,49460813,3p,581,,F,F,5O55L:00093:00230,23953889,NCI-RID
19,SNRNP70,49594324,3p,6625,,F,R,G13FKHM01A3G28,23953889,NCI-RID
19,SNRNP70,49599041,3p,6625,,F,R,G13FKHM01A4O52,23953889,NCI-RID
19,,49773638,3p,,,,R,5O55L:02316:00729,23953889,NCI-RID
19,SLC6A16,49816096,3p,28968,,R,F,5O55L:01850:01476,23953889,NCI-RID
19,SLC6A16,49822118,3p,28968,,R,R,5O55L:01506:02136,23953889,NCI-RID
19,SLC6A16,49823459,3p,28968,,R,F,5O55L:00973:00261,23953889,NCI-RID
19,SLC6A16,49824232,3p,28968,,R,F,5O55L:02604:01340,23953889,NCI-RID
19,SLC6A16,49826456,3p,28968,,R,F,5O55L:01160:00560,23953889,NCI-RID
19,,49830371,5p,,,,R,RSHY_106N_51_031,23953889,NCI-RID
19,CCDC155,49900121,5p,147872,,F,R,109__074,23953889,NCI-RID
19,CCDC155,49913278,3p,147872,,F,R,IBB7A10,23953889,NCI-RID
19,ALDH16A1,49974240,3p,126133,,F,F,5O55L:02608:02371,23953889,NCI-RID
19,,49974692,3p,,,,F,5O55L:01651:00763,23953889,NCI-RID
19,FLT3LG,49987469,3p,2323,,F,F,5O55L:02060:00752,23953889,NCI-RID
19,RPL13A,49992782,3p,23521,,F,R,G13FKHM01BEO6N,23953889,NCI-RID
19,,49997189,3p,,,,R,G13FKHM01ABCMK,23953889,NCI-RID
19,,49997592,3p,,,,R,G13FKHM01AGMPX,23953889,NCI-RID
19,,50007368,3p,,,,F,G13FKHM01BU00L,23953889,NCI-RID
19,FCGRT,50020998,3p,2217,,F,F,G13FKHM01BBJSZ,23953889,NCI-RID
19,FCGRT,50024400,3p,2217,,F,R,G13FKHM01B1O4A,23953889,NCI-RID
19,FCGRT,50026227,3p,2217,,F,F,G13FKHM01AVPI6,23953889,NCI-RID
19,,50050893,3p,,,,R,5O55L:02580:01356,23953889,NCI-RID
19,,50055501,3p,,,,F,IBB13D10,23953889,NCI-RID
19,NOSIP,50064054,3p,51070,,R,F,G13FKHM01AD8T2,23953889,NCI-RID
19,NOSIP,50065739,3p,51070,,R,F,G13FKHM01BVJSK,23953889,NCI-RID
19,NOSIP,50066664,3p,51070,,R,R,5O55L:00283:01872,23953889,NCI-RID
19,NOSIP,50066905,3p,51070,,R,F,5O55L:01470:01840,23953889,NCI-RID
19,NOSIP,50067155,3p,51070,,R,F,GXIEMIS01AR1F1,23953889,NCI-RID
19,NOSIP,50067201,3p,51070,,R,R,G13FKHM01A2WSA,23953889,NCI-RID
19,NOSIP,50069192,3p,51070,,R,F,G13FKHM01A85KM,23953889,NCI-RID
19,NOSIP,50069215,3p,51070,,R,R,5O55L:02431:01485,23953889,NCI-RID
19,NOSIP,50069457,3p,51070,,R,R,G13FKHM01ANGNX,23953889,NCI-RID
